DATABASE	ID	NAME	TIER	CATEGORY	SIZE	SUBCATEGORY	MASS_KG	VOLUME_M3	BASE_PRICE	PRODUCTION_TIME_SEC	INPUT_1	INPUT_1_QTY	INPUT_2	INPUT_2_QTY	INPUT_3	INPUT_3_QTY	SPECIAL_NOTES	INFO_TEXT
WEAPON	WEP_001	Light Autocannon	1	Projectile	S	Rapid Fire	200	2.0	3000	480	MAT_001	20	MAT_003	15	COMP_001	2	Rapid-fire kinetic projectile weapon	Rapid-fire kinetic projectile weapon
WEAPON	WEP_002	Medium Autocannon	2	Projectile	M	Rapid Fire	500	5.0	8000	720	MAT_003	40	MAT_004	30	COMP_004	3	Rapid-fire kinetic projectile weapon	Rapid-fire kinetic projectile weapon
WEAPON	WEP_003	Heavy Autocannon	3	Projectile	L	Rapid Fire	1200	12.0	20000	1200	MAT_005	70	MAT_006	50	COMP_023	5	Rapid-fire kinetic projectile weapon	Rapid-fire kinetic projectile weapon
WEAPON	WEP_004	Gatling Cannon	2	Projectile	M	Ultra-Rapid	600	6.0	12000	900	MAT_003	50	MAT_009	35	COMP_006	4	Ship weapon system	Ship weapon system
WEAPON	WEP_005	Burst Cannon	2	Projectile	S	Burst Mode	350	3.5	6500	660	MAT_003	30	MAT_004	25	COMP_023	2	Ship weapon system	Ship weapon system
WEAPON	WEP_006	Light Railgun	2	Projectile	M	Precision	800	8.0	15000	1080	MAT_004	60	MAT_013	40	COMP_044	3	Long-range kinetic projectile weapon	Long-range kinetic projectile weapon
WEAPON	WEP_007	Medium Railgun	3	Projectile	L	Precision	1800	18.0	35000	1800	MAT_006	100	MAT_013	70	COMP_044	6	Long-range kinetic projectile weapon	Long-range kinetic projectile weapon
WEAPON	WEP_008	Heavy Railgun	4	Projectile	XL	Precision	4000	40.0	80000	3000	MAT_007	180	MAT_013	120	COMP_044	12	Long-range kinetic projectile weapon	Long-range kinetic projectile weapon
WEAPON	WEP_009	Coilgun Battery	3	Projectile	L	Magnetic	2000	20.0	40000	1980	MAT_005	110	COMP_041	8	COMP_044	5	Ship weapon system	Ship weapon system
WEAPON	WEP_010	Mass Driver Turret	3	Projectile	L	Heavy Kinetic	2500	25.0	45000	2160	MAT_006	130	COMP_044	10	MAT_009	80	Ship weapon system	Ship weapon system
WEAPON	WEP_011	Flak Cannon	2	Projectile	M	Anti-Fighter	700	7.0	11000	840	MAT_004	55	MAT_009	40	COMP_052	3	Ship weapon system	Ship weapon system
WEAPON	WEP_012	Scatter Gun	1	Projectile	S	Shotgun	280	2.8	4500	540	MAT_002	25	MAT_003	20	COMP_001	2	Ship weapon system	Ship weapon system
WEAPON	WEP_013	Sniper Cannon	3	Projectile	M	Long Range	1500	15.0	32000	1680	MAT_005	90	COMP_044	7	COMP_012	4	Ship weapon system	Ship weapon system
WEAPON	WEP_014	Artillery Cannon	4	Projectile	XL	Siege	4500	45.0	90000	3300	MAT_007	200	COMP_044	15	COMP_078	4	Long-range kinetic projectile weapon	Long-range kinetic projectile weapon
WEAPON	WEP_015	Assault Cannon	2	Projectile	M	Balanced	650	6.5	10000	780	MAT_003	45	MAT_004	35	COMP_023	3	Ship weapon system	Ship weapon system
WEAPON	WEP_016	Tactical Railgun	3	Projectile	M	Tactical	1400	14.0	28000	1500	MAT_005	80	COMP_044	6	COMP_052	4	Long-range kinetic projectile weapon	Long-range kinetic projectile weapon
WEAPON	WEP_017	Siege Autocannon	4	Projectile	XL	Siege Mode	3800	38.0	75000	2940	MAT_006	170	COMP_078	8	COMP_023	10	Rapid-fire kinetic projectile weapon	Rapid-fire kinetic projectile weapon
WEAPON	WEP_018	Rotary Cannon	3	Projectile	L	Rotary	2200	22.0	42000	2040	MAT_005	115	COMP_006	12	COMP_023	7	Ship weapon system	Ship weapon system
WEAPON	WEP_019	Proximity Cannon	3	Projectile	M	Smart Ammo	1600	16.0	33000	1740	MAT_005	85	COMP_038	5	COMP_023	4	Ship weapon system	Ship weapon system
WEAPON	WEP_020	Gauss Rifle	2	Projectile	S	Sniper	450	4.5	9000	720	MAT_004	40	COMP_041	3	COMP_012	2	Ship weapon system	Ship weapon system
WEAPON	WEP_021	Light Missile Launcher	1	Missile	S	Standard	250	2.5	4000	540	MAT_002	25	MAT_003	20	COMP_062	2	Guided explosive projectile weapon	Guided explosive projectile weapon
WEAPON	WEP_022	Medium Missile Launcher	2	Missile	M	Standard	600	6.0	10000	840	MAT_003	50	MAT_004	40	COMP_062	4	Guided explosive projectile weapon	Guided explosive projectile weapon
WEAPON	WEP_023	Heavy Missile Launcher	3	Missile	L	Standard	1400	14.0	25000	1440	MAT_005	80	MAT_006	60	COMP_059	3	Guided explosive projectile weapon	Guided explosive projectile weapon
WEAPON	WEP_024	Torpedo Launcher	3	Missile	L	Torpedo	1800	18.0	35000	1800	MAT_005	100	MAT_006	80	COMP_059	5	Guided explosive projectile weapon	Guided explosive projectile weapon
WEAPON	WEP_025	Cruise Missile Battery	4	Missile	XL	Long Range	3500	35.0	70000	2700	MAT_006	150	MAT_007	100	COMP_059	8	Guided explosive projectile weapon	Guided explosive projectile weapon
WEAPON	WEP_026	Swarm Launcher	2	Missile	M	Multi-Launch	700	7.0	13000	960	MAT_003	55	COMP_038	6	COMP_062	3	Ship weapon system	Ship weapon system
WEAPON	WEP_027	Rocket Pod	1	Missile	S	Unguided	300	3.0	5000	600	MAT_002	30	MAT_016	20	COMP_001	2	Ship weapon system	Ship weapon system
