DATABASE	ID	NAME	TIER	CATEGORY	SIZE	SUBCATEGORY	MASS_KG	VOLUME_M3	BASE_PRICE	PRODUCTION_TIME_SEC	INPUT_1	INPUT_1_QTY	INPUT_2	INPUT_2_QTY	INPUT_3	INPUT_3_QTY	SPECIAL_NOTES	INFO_TEXT
WEAPON	WEP_101	Asteroid Drill	1	Mining	S	Drilling	180	1.8	2000	360	MAT_001	15	COMP_048	1	-	-	Deep penetration ore extraction	Deep penetration ore extraction
WEAPON	WEP_102	Deep Core Drill	2	Mining	M	Deep Mining	450	4.5	6000	720	MAT_003	35	COMP_048	3	-	-	Deep penetration ore extraction	Deep penetration ore extraction
WEAPON	WEP_103	Plasma Cutter	2	Mining	S	Cutting	500	5.0	7500	780	MAT_016	40	COMP_054	2	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_104	Sonic Resonator	2	Mining	M	Sonic	600	6.0	9000	840	MAT_004	45	COMP_010	3	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_105	Thermal Fracture Beam	3	Mining	M	Heat	1000	10.0	15000	1200	MAT_011	60	COMP_054	5	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_106	Magnetic Extractor	3	Mining	M	Magnetic	1100	11.0	17000	1320	MAT_013	65	COMP_041	6	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_107	Ice Melter	2	Mining	S	Ice	400	4.0	5500	660	MAT_011	30	COMP_054	2	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_108	Gas Ionizer	2	Mining	M	Gas	700	7.0	10000	900	MAT_013	50	COMP_041	4	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_109	Quantum Excavator	4	Mining	L	Quantum	2000	20.0	40000	2040	MAT_015	95	COMP_030	8	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_110	Void Extractor	5	Mining	L	Void	3000	30.0	80000	3300	MAT_033	120	COMP_032	10	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_111	Nanite Disassembler	4	Mining	M	Nanite	1800	18.0	35000	1920	MAT_031	85	COMP_021	8	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_112	Refinery Beam	3	Mining	M	Processing	1300	13.0	22000	1500	MAT_005	70	COMP_067	4	-	-	Enhances mining operations	Enhances mining operations
WEAPON	WEP_113	Compression Drill	3	Mining	M	Compression	1200	12.0	20000	1380	MAT_015	65	COMP_022	5	-	-	Deep penetration ore extraction	Deep penetration ore extraction
WEAPON	WEP_114	Smart Mining Array	4	Mining	L	AI Mining	2200	22.0	45000	2220	MAT_006	100	COMP_052	10	COMP_048	8	Enhances mining operations	Enhances mining operations
WEAPON	WEP_115	Stellar Harvester	5	Mining	XL	Star Mining	4000	40.0	100000	3900	MAT_007	150	COMP_092	6	-	-	Enhances mining operations	Enhances mining operations
