DATABASE	ID	NAME	TIER	CATEGORY	SIZE	SUBCATEGORY	MASS_KG	VOLUME_M3	BASE_PRICE	PRODUCTION_TIME_SEC	INPUT_1	INPUT_1_QTY	INPUT_2	INPUT_2_QTY	INPUT_3	INPUT_3_QTY	SPECIAL_NOTES	INFO_TEXT
AMMO	AMMO_001	Standard Autocannon Round	1	Projectile	S	Kinetic	0.5	0.005	5	10	MAT_001	2	-	-	-	-	Projectile module	Projectile module
AMMO	AMMO_002	Depleted Uranium Round	2	Projectile	S	Armor-Piercing	0.8	0.005	15	20	MAT_003	3	MAT_009	1	-	-	Projectile module	Projectile module
AMMO	AMMO_003	Explosive Round	2	Projectile	S	Explosive	0.6	0.006	12	15	MAT_001	2	MAT_016	1	-	-	Projectile module	Projectile module
AMMO	AMMO_004	Incendiary Round	2	Projectile	S	Heat	0.7	0.005	10	12	MAT_001	2	MAT_011	1	-	-	Projectile module	Projectile module
AMMO	AMMO_005	EMP Round	3	Projectile	S	Electronic	0.5	0.005	20	25	MAT_003	2	MAT_013	2	-	-	Projectile module	Projectile module
AMMO	AMMO_006	Railgun Slug	2	Projectile	M	High-Velocity	1.5	0.01	25	30	MAT_004	5	MAT_013	3	-	-	Projectile module	Projectile module
AMMO	AMMO_007	Sabot Round	3	Projectile	M	Penetrator	2.0	0.012	40	45	MAT_005	6	MAT_009	4	-	-	Projectile module	Projectile module
AMMO	AMMO_008	Cluster Round	3	Projectile	M	Multi-Warhead	1.8	0.015	35	40	MAT_004	5	MAT_016	3	-	-	Projectile module	Projectile module
AMMO	AMMO_009	Plasma Round	3	Projectile	M	Plasma	1.2	0.01	50	60	MAT_016	8	MAT_005	4	-	-	Projectile module	Projectile module
AMMO	AMMO_010	Antimatter Slug	5	Projectile	L	AM	0.3	0.003	200	240	MAT_027	20	MAT_008	10	-	-	Projectile module	Projectile module
AMMO	AMMO_011	Standard Missile	1	Missile	S	Basic	5	0.05	50	60	MAT_002	5	MAT_016	3	COMP_062	1	Missile module	Missile module
AMMO	AMMO_012	Heavy Missile	2	Missile	M	Heavy	12	0.12	120	120	MAT_003	10	MAT_016	8	COMP_062	2	Missile module	Missile module
AMMO	AMMO_013	Cruise Missile	3	Missile	L	Long-Range	25	0.25	300	240	MAT_005	20	MAT_016	15	COMP_062	3	Missile module	Missile module
AMMO	AMMO_014	Torpedo	3	Missile	L	Torpedo	30	0.30	400	300	MAT_005	25	MAT_016	20	COMP_062	4	Missile module	Missile module
AMMO	AMMO_015	Smart Missile	3	Missile	M	AI-Guided	15	0.15	250	180	MAT_005	12	MAT_016	10	COMP_038	2	Missile module	Missile module
