DATABASE	ID	NAME	TIER	CATEGORY	SIZE	SUBCATEGORY	MASS_KG	VOLUME_M3	BASE_PRICE	PRODUCTION_TIME_SEC	INPUT_1	INPUT_1_QTY	INPUT_2	INPUT_2_QTY	INPUT_3	INPUT_3_QTY	SPECIAL_NOTES	INFO_TEXT
MODULE	MOD_101	Basic Cargo Bay	1	Cargo	S	Storage	150	1.5	4000	600	MAT_T1_001	60	MAT_T1_003	40	COMP_005	5	Expands cargo storage space	Expands cargo storage space
MODULE	MOD_102	Standard Cargo Bay	1	Cargo	S	Storage	180	1.8	5000	720	MAT_T1_001	75	MAT_T2_008	45	COMP_006	6	Expands cargo storage space	Expands cargo storage space
MODULE	MOD_103	Small Ore Hold	1	Cargo	S	Specialized	200	2.0	5500	780	MAT_T1_002	80	MAT_T2_009	50	COMP_007	6	Expands cargo storage space	Expands cargo storage space
MODULE	MOD_104	Light Cargo Optimizer	1	Cargo	S	Enhancement	140	1.4	4500	660	MAT_T1_003	55	MAT_T2_013	35	COMP_008	5	Optimizes cargo space efficiency	Optimizes cargo space efficiency
MODULE	MOD_105	Basic Cargo Scanner	1	Cargo	S	Detection	120	1.2	3800	540	MAT_T2_010	50	MAT_T2_013	30	COMP_009	4	Expands cargo storage space	Expands cargo storage space
MODULE	MOD_106	Improved Cargo Bay	2	Cargo	M	Storage	650	6.5	18000	1200	MAT_T2_008	170	MAT_T2_010	120	COMP_015	15	Expands cargo storage space	Expands cargo storage space
MODULE	MOD_107	Enhanced Cargo Bay	2	Cargo	M	Storage	750	7.5	22000	1440	MAT_T2_009	200	MAT_T2_010	140	COMP_016	18	Expands cargo storage space	Expands cargo storage space
MODULE	MOD_108	Medium Ore Hold	2	Cargo	M	Specialized	820	8.2	24000	1560	MAT_T2_010	220	MAT_T2_014	150	COMP_017	19	Expands cargo storage space	Expands cargo storage space
MODULE	MOD_109	Medium Gas Hold	2	Cargo	M	Specialized	780	7.8	23000	1500	MAT_T2_009	210	MAT_T2_013	145	COMP_018	18	Expands cargo storage space	Expands cargo storage space
MODULE	MOD_110	Improved Cargo Optimizer	2	Cargo	M	Enhancement	680	6.8	20000	1320	MAT_T2_008	180	MAT_T2_011	125	COMP_019	16	Optimizes cargo space efficiency	Optimizes cargo space efficiency
