DATABASE	ID	NAME	TIER	CATEGORY	SIZE	SUBCATEGORY	MASS_KG	VOLUME_M3	BASE_PRICE	PRODUCTION_TIME_SEC	INPUT_1	INPUT_1_QTY	INPUT_2	INPUT_2_QTY	INPUT_3	INPUT_3_QTY	SPECIAL_NOTES	INFO_TEXT
MODULE	MOD_201	Basic Command Center	2	Command	M	Control	550	5.5	32000	1680	MAT_T2_008	210	MAT_T2_013	145	COMP_030	18	Fleet command and coordination	Fleet command and coordination
MODULE	MOD_202	Standard Fleet Link	2	Command	M	Network	500	5.0	28000	1560	MAT_T2_009	190	MAT_T2_013	135	COMP_031	16	Boosts nearby friendly ships	Boosts nearby friendly ships
MODULE	MOD_203	Small Command Burst	2	Command	S	Buff	380	3.8	22000	1320	MAT_T2_010	150	MAT_T2_014	105	COMP_032	14	Provides temporary fleet bonuses	Provides temporary fleet bonuses
MODULE	MOD_204	Light Wing Commander	2	Command	M	Wing	520	5.2	30000	1620	MAT_T2_008	200	MAT_T2_011	140	COMP_033	17	Fleet command and coordination	Fleet command and coordination
MODULE	MOD_205	Basic Tactical Link	2	Command	M	Tactical	480	4.8	26000	1500	MAT_T2_010	185	MAT_T2_013	130	COMP_034	15	Boosts nearby friendly ships	Boosts nearby friendly ships
MODULE	MOD_206	Improved Command Center	3	Command	L	Control	1350	13.5	95000	2760	MAT_T3_016	440	MAT_T3_018	320	COMP_055	42	Fleet command and coordination	Fleet command and coordination
MODULE	MOD_207	Enhanced Fleet Link	3	Command	M	Network	1200	12.0	88000	2640	MAT_T3_016	400	MAT_T3_020	295	COMP_056	39	Boosts nearby friendly ships	Boosts nearby friendly ships
MODULE	MOD_208	Medium Command Burst	3	Command	M	Buff	1100	11.0	82000	2520	MAT_T3_021	360	MAT_T3_022	270	COMP_057	37	Provides temporary fleet bonuses	Provides temporary fleet bonuses
MODULE	MOD_209	Heavy Wing Commander	3	Command	L	Wing	1400	14.0	98000	2820	MAT_T3_018	460	MAT_T3_019	340	COMP_058	43	Fleet command and coordination	Fleet command and coordination
MODULE	MOD_210	Elite Tactical Link	3	Command	M	Tactical	1250	12.5	90000	2700	MAT_T3_016	420	MAT_T3_021	310	COMP_059	40	Boosts nearby friendly ships	Boosts nearby friendly ships
MODULE	MOD_211	Fleet Command Module	3	Command	L	Fleet	1500	15.0	105000	3000	MAT_T3_016	490	MAT_T3_018	360	COMP_060	45	Fleet command and coordination	Fleet command and coordination
MODULE	MOD_212	Squadron Leader Module	3	Command	M	Squadron	1300	13.0	92000	2760	MAT_T3_020	430	MAT_T3_022	320	COMP_061	41	Fleet command and coordination	Fleet command and coordination
MODULE	MOD_213	Quantum Command Center	4	Command	XL	Control	5000	50.0	360000	5700	MAT_T4_023	1040	MAT_T4_025	770	COMP_090	108	Fleet command and coordination	Fleet command and coordination
MODULE	MOD_214	Capital Fleet Link	4	Command	L	Network	4500	45.0	330000	5400	MAT_T4_023	940	MAT_T4_026	700	COMP_091	102	Boosts nearby friendly ships	Boosts nearby friendly ships
MODULE	MOD_215	Siege Command Burst	4	Command	L	Buff	4200	42.0	310000	5100	MAT_T4_024	870	MAT_T4_027	650	COMP_092	98	Provides temporary fleet bonuses	Provides temporary fleet bonuses
