DATABASE	ID	NAME	TIER	CATEGORY	SIZE	SUBCATEGORY	MASS_KG	VOLUME_M3	BASE_PRICE	PRODUCTION_TIME_SEC	INPUT_1	INPUT_1_QTY	INPUT_2	INPUT_2_QTY	INPUT_3	INPUT_3_QTY	SPECIAL_NOTES	INFO_TEXT
SHIP	SHIP_041	Voyager Explorer	2	Cruiser	M	Explorer	18000	1800	200000	6600	MAT_T2_008	3500	MAT_T2_010	2400	COMP_025	55	Spaceship hull	Spaceship hull
SHIP	SHIP_042	Pathfinder Scout	2	Cruiser	M	Scout	18500	1850	215000	6840	MAT_T2_009	3650	MAT_T2_010	2500	COMP_026	58	Spaceship hull	Spaceship hull
SHIP	SHIP_043	Pioneer Mining	2	Cruiser	M	Mining	19000	1900	230000	7080	MAT_T2_010	3800	MAT_T2_014	2600	COMP_027	60	Asteroid mining specialist ship	Asteroid mining specialist ship
SHIP	SHIP_044	Crusader Combat	2	Cruiser	M	Combat	19500	1950	245000	7320	MAT_T2_008	3950	MAT_T2_010	2700	COMP_028	63	Spaceship hull	Spaceship hull
SHIP	SHIP_045	Templar Assault	3	Cruiser	L	Assault	22000	2200	320000	7920	MAT_T3_016	4800	MAT_T3_018	3400	COMP_045	75	Spaceship hull	Spaceship hull
SHIP	SHIP_046	Centurion Heavy	3	Cruiser	L	Heavy	23000	2300	350000	8160	MAT_T3_016	5000	MAT_T3_020	3600	COMP_046	80	Spaceship hull	Spaceship hull
SHIP	SHIP_047	Gladiator Combat	3	Cruiser	M	Combat	21000	2100	305000	7680	MAT_T3_021	4600	MAT_T3_022	3300	COMP_047	72	Spaceship hull	Spaceship hull
SHIP	SHIP_048	Praetorian Defense	3	Cruiser	L	Defense	22500	2250	335000	8040	MAT_T3_018	4900	MAT_T3_019	3500	COMP_048	77	Spaceship hull	Spaceship hull
SHIP	SHIP_049	Recon Stealth	3	Cruiser	M	Stealth	20500	2050	295000	7560	MAT_T3_016	4500	MAT_T3_021	3200	COMP_049	70	Spaceship hull	Spaceship hull
SHIP	SHIP_050	Force Recon	3	Cruiser	M	Recon	21500	2150	315000	7800	MAT_T3_020	4700	MAT_T3_022	3350	COMP_050	74	Spaceship hull	Spaceship hull
SHIP	SHIP_051	Harbinger Missile	3	Cruiser	L	Missile	23500	2350	365000	8280	MAT_T3_016	5100	MAT_T3_018	3700	COMP_051	82	Spaceship hull	Spaceship hull
SHIP	SHIP_052	Oracle Artillery	3	Cruiser	L	Artillery	24000	2400	380000	8400	MAT_T3_021	5250	MAT_T3_022	3800	COMP_052	85	Spaceship hull	Spaceship hull
SHIP	SHIP_053	Guardian Logistics	2	Cruiser	M	Logistics	19200	1920	240000	7200	MAT_T2_009	3850	MAT_T2_015	2650	COMP_029	62	Spaceship hull	Spaceship hull
SHIP	SHIP_054	Basilisk Remote Repair	3	Cruiser	M	Repair	20800	2080	300000	7620	MAT_T3_018	4550	MAT_T3_019	3250	COMP_053	71	Spaceship hull	Spaceship hull
SHIP	SHIP_055	Oneiros Logistics	3	Cruiser	M	Logistics	21200	2120	310000	7740	MAT_T3_016	4650	MAT_T3_021	3300	COMP_054	73	Spaceship hull	Spaceship hull
SHIP	SHIP_056	Scythe Fleet	2	Cruiser	M	Fleet	18800	1880	225000	6960	MAT_T2_010	3750	MAT_T2_013	2580	COMP_030	59	Spaceship hull	Spaceship hull
