DATABASE	ID	NAME	TIER	CATEGORY	SIZE	SUBCATEGORY	MASS_KG	VOLUME_M3	BASE_PRICE	PRODUCTION_TIME_SEC	INPUT_1	INPUT_1_QTY	INPUT_2	INPUT_2_QTY	INPUT_3	INPUT_3_QTY	SPECIAL_NOTES	INFO_TEXT
SHIP	SHIP_121	Venture Mining Frigate	2	Industrial	S	Mining	6500	650	80000	4560	MAT_T2_008	1500	MAT_T2_010	1000	COMP_020	30	Fast, versatile small combat ship	Fast, versatile small combat ship
SHIP	SHIP_122	Prospect Expedition	3	Industrial	S	Expedition	7500	750	120000	5280	MAT_T3_016	1850	MAT_T3_018	1300	COMP_045	40	Spaceship hull	Spaceship hull
SHIP	SHIP_123	Procurer Mining Barge	3	Industrial	M	Barge	18000	1800	280000	7680	MAT_T3_016	4200	MAT_T3_020	3000	COMP_050	70	Asteroid mining specialist ship	Asteroid mining specialist ship
SHIP	SHIP_124	Retriever Mining Barge	3	Industrial	M	Barge	19000	1900	300000	7920	MAT_T3_021	4500	MAT_T3_022	3200	COMP_051	75	Asteroid mining specialist ship	Asteroid mining specialist ship
SHIP	SHIP_125	Covetor Mining Barge	3	Industrial	M	Barge	17500	1750	270000	7560	MAT_T3_018	4000	MAT_T3_019	2900	COMP_052	68	Asteroid mining specialist ship	Asteroid mining specialist ship
SHIP	SHIP_126	Skiff Exhumer	4	Industrial	M	Exhumer	22000	2200	450000	8640	MAT_T4_023	5800	MAT_T4_025	4200	COMP_085	95	Spaceship hull	Spaceship hull
SHIP	SHIP_127	Mackinaw Exhumer	4	Industrial	M	Exhumer	23000	2300	480000	8880	MAT_T4_024	6100	MAT_T4_026	4400	COMP_086	100	Spaceship hull	Spaceship hull
SHIP	SHIP_128	Hulk Exhumer	4	Industrial	L	Exhumer	24000	2400	510000	9120	MAT_T4_025	6400	MAT_T4_027	4600	COMP_087	105	Spaceship hull	Spaceship hull
SHIP	SHIP_129	Orca Industrial Command	4	Industrial	XL	Command	65000	6500	1800000	16560	MAT_T4_023	22000	MAT_T4_025	16000	COMP_090	380	Industrial operations support ship	Industrial operations support ship
SHIP	SHIP_130	Rorqual Capital Industrial	5	Industrial	XL	Capital	85000	8500	3500000	20400	MAT_T5_028	38000	MAT_T5_031	27000	COMP_098	600	Industrial operations support ship	Industrial operations support ship
SHIP	SHIP_131	Badger Hauler	2	Industrial	M	Transport	15000	1500	160000	6240	MAT_T2_008	3000	MAT_T2_010	2100	COMP_025	48	Large cargo transport vessel	Large cargo transport vessel
SHIP	SHIP_132	Tayra Hauler	2	Industrial	M	Transport	16000	1600	180000	6480	MAT_T2_009	3200	MAT_T2_013	2300	COMP_026	52	Large cargo transport vessel	Large cargo transport vessel
SHIP	SHIP_133	Bestower Hauler	2	Industrial	M	Transport	15500	1550	170000	6360	MAT_T2_010	3100	MAT_T2_014	2200	COMP_027	50	Large cargo transport vessel	Large cargo transport vessel
SHIP	SHIP_134	Iteron V Hauler	3	Industrial	M	Transport	19500	1950	250000	7320	MAT_T3_016	4400	MAT_T3_018	3200	COMP_055	68	Large cargo transport vessel	Large cargo transport vessel
SHIP	SHIP_135	Mammoth Hauler	3	Industrial	M	Transport	20000	2000	265000	7560	MAT_T3_021	4600	MAT_T3_022	3350	COMP_056	72	Large cargo transport vessel	Large cargo transport vessel
SHIP	SHIP_136	Nereus Specialist	3	Industrial	M	Specialist	18500	1850	235000	7080	MAT_T3_018	4100	MAT_T3_019	3000	COMP_057	65	Spaceship hull	Spaceship hull
SHIP	SHIP_137	Kryos Ore Hauler	3	Industrial	M	Ore	19000	1900	245000	7200	MAT_T3_016	4300	MAT_T3_021	3100	COMP_058	67	Large cargo transport vessel	Large cargo transport vessel
